question,A,B,C,D,answer
"### Question 111
A software engineer is developing a chatbot using a large language model and must decide on a decoding strategy for generating the chatbot's replies. Which decoding approach should they use in each of the following scenarios to achieve the desired outcome?","To minimize the risk of nonsensical replies, the engineer opts for non-deterministic decoding with a very low temperature.","For maximum consistency in the chatbot's language, the engineer chooses greedy decoding with a low temperature setting.","In a situation requiring creative and varied responses, the engineer selects greedy decoding with an increased temperature.","To ensure the chatbot's responses are diverse and unpredictable, the engineer sets a high temperature and uses non-deterministic decoding.",D
"### Question 112
Which statement best describes the role of encoder and decoder models in natural language processing?",Encoder models and decoder models both convert sequences of words into vector representations without generating new text.,"Encoder models are used only for numerical calculations, whereas decoder models are used to interpret the calculated numerical values back into text.","Encoder models convert a sequence of words into a vector representation, and decoder models take this vector representation to generate a sequence of words.","Encoder models take a sequence of words and predict the next word in the sequence, whereas decoder models convert a sequence of words into a numerical representation.",C
"### Question 113
How long does the OCI Generative AI Agents service retain customer-provided queries and retrieved context?","Indefinitely, for future analysis",Only during the user's session,For up to 30 days after the session ends,Until the customer deletes the data manually,B
"### Question 114
Which is a distinguishing feature of ""Parameter-Efficient Fine-tuning (PEFT)"" as opposed to classic ""Fine-tuning"" in large language model training?","PEFT involves only a few or new parameters and uses labeled, task-specific data.",PEFT does not modify any parameters but uses soft prompting with unlabeled data.,"PEFT modifies all parameters and uses unlabeled, task-agnostic data.",PEFT modifies all parameters and is typically used when no training data exists.,A
"### Question 115
How does retrieval-augmented generation (RAG) differ from prompt engineering and fine-tuning in terms of setup complexity?",RAG requires fine-tuning on a smaller domain-specific dataset.,RAG is more complex to set up and requires a compatible data source.,RAG is simpler to implement as it does not require training costs.,RAG involves adding LLM optimization to the model's prompt.,B
"### Question 116
Which category of pretrained foundational models is available for on-demand serving mode in the OCI Generative AI service?",Chat Models,Translation Models,Generation Models,Summarization Models,A
"### Question 117
Consider the following block of code:
```python
vs = OracleVS(embedding_function=embed_model, client=conn23c, table_name=""DEMO_TABLE"", distance_strategy=DistanceStrategy.DOT)
retv = vs.as_retriever(search_type=""similarity"", search_kwargs={""k"": 3})
```
Which prerequisite steps must be completed before this code can execute successfully?",Documents must be indexed and saved in the specified table.,Embeddings must be created and stored in the database.,A response must be generated before running the retrieval process.,Documents must be retrieved from the database before running the retriever.,B
"### Question 118
You are developing a chatbot that processes sensitive data, which must remain secure and not be exposed externally. What is an approach to embedding the data using Oracle Database 23ai?",Store embeddings in an unencrypted external database.,Import and use an ONNX model.,Use a third party model via a secure API.,Use open-source models.,B
"### Question 119
When using a specific LLM and splitting documents into chunks, which parameter should you check to ensure the chunks are appropriately sized for processing?",Number of LLM parameters.,Context window size.,Number of LLM layers.,Max number of tokens LLM can generate.,B
"### Question 120
How should you handle a data source in OCI Generative AI Agents if your data is not ready yet?",Upload placeholder files larger than 100 MB as a temporary solution.,Create an empty folder for the data source and populate it later.,Use multiple buckets to store the incomplete data.,Leave the data source configuration incomplete until the data is ready.,B
"### Question 121
You create a fine-tuning dedicated AI cluster to customize a foundational model with your custom training data. How many unit hours are required for fine-tuning if the cluster is active for 10 days?",480 unit hours,240 unit hours,744 unit hours,20 unit hours,A
"### Question 122
Given the following code:
chain = prompt | llm
Which statement is true about LangChain Expression Language (LCEL)?",LCEL is a programming language used to write documentation for LangChain.,LCEL is a legacy method for creating chains in LangChain.,LCEL is a declarative and preferred way to compose chains together.,LCEL is an older Python library for building Large Language Models.,C
"### Question 123
Why is normalization of vectors important before indexing in a hybrid search system?",It ensures that all vectors represent keywords only.,It significantly reduces the size of the database.,It standardizes vector lengths for meaningful comparison using metrics such as Cosine Similarity.,It converts all sparse vectors to dense vectors.,C
"### Question 124
What is the purpose of the ""stop sequence"" parameter in the OCI Generative AI Generation models?",It specifies a string that tells the model to stop generating more content.,It assigns a penalty to frequently occurring tokens to reduce repetitive text.,It determines the maximum number of tokens the model can generate per response.,"It controls the randomness of the model’s output, affecting its creativity.",A
"### Question 125
Given the following code:
PromptTemplate(input_variables=[""human_input"", ""city""], template=template)
Which statement is true about PromptTemplate in relation to input_variables?",PromptTemplate requires a minimum of two variables to function properly.,PromptTemplate can support only a single variable at a time.,"PromptTemplate supports any number of variables, including the possibility of having none.",PromptTemplate is unable to use any variables.,C
"### Question 126
Which is a key advantage of using T-Few over Vanilla fine-tuning in the OCI Generative AI service?",Reduced model complexity,Enhanced generalization to unseen data,Increased model interpretability,Faster training time and lower cost,D
"### Question 127
What does a higher number assigned to a token signify in the ""Show Likelihoods"" feature of the language model token generation?",The token is less likely to follow the current token.,The token is more likely to follow the current token.,The token is unrelated to the current token and will not be used.,The token will be the only one considered in the next generation step.,B
"### Question 128
What do embeddings in Large Language Models (LLMs) represent?",The color and size of the font in textual data,The frequency of each word or pixel in the data,The semantic content of data in high-dimensional vectors,The grammatical structure of sentences in the data,C
"### Question 129
Which is a key characteristic of the annotation process used in T-Few fine-tuning?",T-Few fine-tuning uses annotated data to adjust a fraction of model weights.,T-Few fine-tuning requires manual annotation of input-output pairs.,T-Few fine-tuning involves updating the weights of all layers in the model.,T-Few fine-tuning relies on unsupervised learning techniques for annotation.,A
"### Question 130
Which is NOT a typical use case for LangSmith Evaluators?",Measuring coherence of generated text,Aligning code readability,Evaluating factual accuracy of outputs,Detecting bias or toxicity,B
"### Question 131
What is the purpose of Retrieval Augmented Generation (RAG) in text generation?",To generate text based only on the model's internal knowledge without external data,To generate text using extra information obtained from an external data source,To store text in an external database without using it for generation,To retrieve text from an external source and present it without any modifications,B
"### Question 132
How does the integration of a vector database into Retrieval-Augmented Generation (RAG)-based Large Language Models (LLMs) fundamentally alter their responses?",It transforms their architecture from a neural network to a traditional database system.,It shifts the basis of their responses from pretrained internal knowledge to real-time data retrieval.,It enables them to bypass the need for pretraining on large text corpora.,It limits their ability to understand and generate natural language.,B
"### Question 133
How does the structure of vector databases differ from traditional relational databases?",A vector database stores data in a linear or tabular format.,It is not optimized for high-dimensional spaces.,It is based on distances and similarities in a vector space.,It uses simple row-based data storage,C
"### Question 134
Which is NOT a category of pretrained foundational models available in the OCI Generative AI service?",Summarization models,Generation models,Translation models,Embedding models,C
"### Question 135
Given the following prompts used with a Large Language Model, classify each as employing the Chain-of-Thought, Least-to-Most, or Step-Back prompting technique:","1: Step-Back, 2: Chain-of-Thought, 3: Least-to-Most","1: Least-to-Most, 2: Chain-of-Thought, 3: Step-Back","1: Chain-of-Thought, 2: Step-Back, 3: Least-to-Most","1: Chain-of-Thought, 2: Least-to-Most, 3: Step-Back",C
"### Question 136
Which statement is true about string prompt templates and their capability regarding variables?",They can only support a single variable at a time.,They are unable to use any variables.,"They support any number of variables, including the possibility of having none.",They require a minimum of two variables to function properly.,C
"### Question 137
How are documents usually evaluated in the simplest form of keyword-based search?",By the complexity of language used in the documents,Based on the number of images and videos contained in the documents,Based on the presence and frequency of the user-provided keywords,According to the length of the documents,C
"### Question 138
What do prompt templates use for templating in language model applications?",Python's list comprehension syntax,Python's str.format syntax,Python's lambda functions,Python's class and object structures,B
"### Question 139
Which LangChain component is responsible for generating the linguistic output in a chatbot system?",Document Loaders,Vector Stores,LangChain Application,LLMs,D
"### Question 140
How are chains traditionally created in LangChain?",By using machine learning algorithms,"Declaratively, with no coding required","Using Python classes, such as LLMChain and others",Exclusively through third-party software integrations,C
"### Question 141
What does ""k-shot prompting"" refer to when using Large Language Models for task-specific applications?",Providing the exact k words in the prompt to guide the model's response,Explicitly providing k examples of the intended task in the prompt to guide the model’s output,The process of training the model on k different tasks simultaneously to improve its versatility,Limiting the model to only k possible outcomes or answers for a given task,B
"### Question 142
You create a fine-tuning dedicated AI cluster to customize a foundational model with your custom training data. How many unit hours are required for fine-tuning if the cluster is active for 10 hours?",25 unit hours,40 unit hours,20 unit hours,30 unit hours,C
"### Question 143
What does the Ranker do in a text generation system?",It generates the final text based on the user's query.,It sources information from databases to use in text generation.,It evaluates and prioritizes the information retrieved by the Retriever.,It interacts with the user to understand the query better.,C
"### Question 144
Given the following code block:
history = StreamlitChatMessageHistory(key=""chat_messages"")
memory = ConversationBufferMemory(chat_memory=history)
Which statement is NOT true about StreamlitChatMessageHistory?",StreamlitChatMessageHistory will store messages in Streamlit session state at the specified key.,A given StreamlitChatMessageHistory will NOT be persisted.,A given StreamlitChatMessageHistory will not be shared across user sessions.,StreamlitChatMessageHistory can be used in any type of LLM application,D
"### Question 145
How do Dot Product and Cosine Distance differ in their application to comparing text embeddings in natural language processing?","Dot Product assesses the overall similarity in content, whereas Cosine Distance measures topical relevance.","Dot Product is used for semantic analysis, whereas Cosine Distance is used for syntactic comparisons.","Dot Product measures the magnitude and direction of vectors, whereas Cosine Distance focuses on the orientation regardless of magnitude.","Dot Product calculates the literal overlap of words, whereas Cosine Distance evaluates the stylistic similarity.",C
"### Question 146
What is the purpose of Retrievers in LangChain?",To train Large Language Models,To retrieve relevant information from knowledge bases,To break down complex tasks into smaller steps,To combine multiple components into a single pipeline,B
"### Question 147
What is the function of the Generator in a text generation system?",To collect user queries and convert them into database search terms,To rank the information based on its relevance to the user's query,"To generate human-like text using the information retrieved and ranked, along with the user's original query",To store the generated responses for future use,C
"### Question 148
What does the RAG Sequence model do in the context of generating a response?",It retrieves a single relevant document for the entire input query and generates a response based on that alone.,"For each input query, it retrieves a set of relevant documents and considers them together to generate a cohesive response.",It retrieves relevant documents only for the initial part of the query and ignores the rest.,It modifies the input query before retrieving relevant documents to ensure a diverse response.,B
"### Question 149
What is LangChain?",A JavaScript library for natural language processing,A Python library for building applications with Large Language Models,A Java library for text summarization,A Ruby library for text generation,B
"### Question 150
What is the primary purpose of LangSmith Tracing?",To generate test cases for language models,To analyze the reasoning process of language models,To debug issues in language model outputs,To monitor the performance of language models,C
"### Question 151
Which is NOT a built-in memory type in LangChain?",ConversationImageMemory,ConversationBufferMemory,ConversationSummaryMemory,ConversationTokenBufferMemory,A
"### Question 152
An AI development company is working on an AI-assisted chatbot for an online retail company. The goal is to answer policy questions and retain chat history within a session. Which model type is best?",A keyword search-based AI,An LLM enhanced with Retrieval-Augmented Generation (RAG),An LLM dedicated to generating text without external data integration,A pre-trained LLM model from Cohere or OpenAI,B
